timestamp_human;timestamp;component;topic;check;check_id;error_sequence_count;error_count;warning_count;success_count;check_count;is_periodic;severity;error_message
2021-10-08 16:23:15.397485256;1.633.702.995.397.480.000;hella5g rear right;/radar_hella5g5_node_rear_right/radar_scan;Check for timestamp sequence;9;418;418;0;3329;3747;0;2;header/seq current value 1 is not stable 9 with a tolerance of 2
2021-10-08 16:23:15.541975498;1.633.702.995.541.970.000;hella5g rear right2;/radar_hella5g5_node_rear_right2/radar_scan;Timestamps deviation t3ros;2;418;2482;0;1266;3748;0;0;Timestamps difference 1966.22 ms is in range of delta 2000 ms +/- 100 ms
2021-10-08 16:23:15.542174578;1.633.702.995.542.170.000;hella5g rear right2;/radar_hella5g5_node_rear_right2/radar_scan;Threshold general/vehicle_speed;10;417;834;1249;1665;3748;0;0;general/vehicle_speed current value 1.01 is smaller than warn threshold 5.00.
2021-10-08 16:23:15.731673479;1.633.702.995.731.670.000;hella5g rear right;/radar_hella5g5_node_rear_right/radar_scan;Cycletime t3;4;418;418;0;3330;3748;0;0;Cycletime 358 ms is in the range of the expected 350 ms with a tolerance of 50 ms
2021-10-08 16:23:15.731741428;1.633.702.995.731.740.000;hella5g rear right;/radar_hella5g5_node_rear_right/radar_scan;Check for timestamp sequence;9;418;418;0;3330;3748;0;0;header/seq current value 2 is stable 1 with a tolerance of 2
2021-10-08 16:23:15.908566713;1.633.702.995.908.560.000;Plausibility;/extern/plausibility;/system_checker_state/state;7;64;1153;0;127;1280;0;0;Success: signal is plausible
2021-10-08 16:23:16.547112465;1.633.702.996.547.110.000;hella5g rear right2;/radar_hella5g5_node_rear_right2/radar_scan;Timestamps deviation t3ros;2;419;2483;0;1268;3751;0;2;Timestamps difference 1896.59 ms is not in range of delta 2000 ms +/- 100 ms
2021-10-08 16:23:16.876036406;1.633.702.996.876.030.000;hella5g rear right2;/radar_hella5g5_node_rear_right2/radar_scan;Threshold general/vehicle_speed;10;417;834;1250;1668;3752;0;1;general/vehicle_speed current value 5.01 is larger than warn threshold 5.00 but smaller than error threshold 8.00.
2021-10-08 16:23:16.908213615;1.633.702.996.908.210.000;Plausibility;/extern/plausibility;Plausibility_Status;7;64;1154;0;127;1281;0;0;Success: all signals are plausible
2021-10-08 16:23:17.432510853;1.633.702.997.432.510.000;Alternate;/extern/alternate;Alternate_status_cpp;7;0;0;214;1068;1282;0;1;Error: I stay in error for 1 second
